x,y,z
6.95604,0.91728,6.03876
4.50996,0,6.65028
3.97488,-0.3822,7.49112
4.43352,1.68168,8.33196
6.03876,2.52252,8.17908
8.17908,2.90472,8.48484
8.0262,0.07644,11.0074
5.65656,-0.3822,13.5299
8.56128,-1.22304,15.0587
10.243,-0.7644,15.5173
12.8419,0,11.2367
14.2178,-1.83456,7.33824
10.3958,-2.44608,7.94976
6.95604,0.3822,11.0074
11.2367,0.45864,8.4084
14.5236,-1.22304,5.12148
4.66284,0.99372,12.3068
13.9885,-4.05132,2.2932
3.21048,3.89844,7.72044
10.7016,-2.14032,11.466
3.97488,3.21048,13.7592
6.19164,-0.7644,10.3194
-3.74556,1.83456,10.5487
7.03248,1.45236,4.12776
9.24924,0.53508,-0.22932
8.25552,1.68168,-1.29948
-2.44608,3.66912,6.4974
-1.60524,2.06388,11.0838
1.911,5.3508,16.8168
4.89216,5.12148,17.0461
6.1152,3.28692,16.6639
5.96232,5.04504,19.5304
9.47856,8.33196,19.5304
-0.30576,1.75812,9.47856
-0.53508,1.5288,8.71416
-0.7644,1.45236,9.32568
-0.68796,1.68168,7.79688
-0.45864,1.60524,8.17908
-0.30576,1.60524,9.555
-0.53508,1.75812,9.40212
-0.7644,1.45236,8.33196
0,1.5288,8.86704
-0.22932,1.1466,9.09636
-0.22932,1.83456,9.86076
-0.91728,1.911,9.40212
-0.68796,1.5288,8.56128
-0.68796,1.5288,8.56128
0,1.37592,8.94348
0,1.37592,8.94348
0,1.37592,8.94348
-0.7644,1.83456,9.78432
-0.7644,1.83456,9.78432
-0.7644,1.83456,9.78432
-0.7644,1.83456,9.78432
-0.7644,1.83456,9.78432
-0.30576,1.22304,9.40212
-0.30576,1.22304,9.40212
-0.30576,1.22304,9.40212
-0.30576,1.22304,9.40212
-0.7644,1.75812,8.48484
-0.7644,1.75812,8.48484
-0.7644,1.75812,8.48484
-0.7644,1.75812,8.48484
-0.3822,1.75812,7.87332
-0.3822,1.75812,7.87332
-0.3822,1.75812,7.87332
-0.45864,1.75812,9.63144
-0.45864,1.75812,9.63144
-0.45864,1.75812,9.63144
-0.45864,1.75812,9.63144
0.22932,1.37592,8.94348
0.22932,1.37592,8.94348
0.22932,1.37592,8.94348
0.22932,1.37592,8.94348
0.22932,1.37592,8.94348
-0.84084,1.75812,9.09636
-0.84084,1.75812,9.09636
-0.84084,1.75812,9.09636
-0.84084,1.75812,9.09636
-0.84084,1.45236,9.78432
-0.84084,1.45236,9.78432
-0.84084,1.45236,9.78432
-0.84084,1.45236,9.78432
-0.68796,1.29948,9.1728
-0.68796,1.29948,9.1728
-0.68796,1.29948,9.1728
-0.68796,1.29948,9.1728
-0.3822,1.83456,8.71416
-0.3822,1.83456,8.71416
-0.3822,1.83456,8.71416
