x,y,z
0.99372,1.98744,9.32568
0.7644,2.06388,8.86704
0.7644,2.06388,8.86704
0.7644,2.06388,8.86704
0.7644,2.06388,8.86704
0.91728,2.21676,8.86704
0.91728,2.21676,8.86704
0.91728,2.21676,8.86704
0.91728,2.21676,8.86704
0.7644,1.68168,8.25552
0.7644,1.68168,8.25552
0.7644,1.68168,8.25552
0.7644,1.68168,8.25552
0.61152,1.98744,9.9372
0.61152,1.98744,9.9372
0.61152,1.98744,9.9372
0.61152,1.98744,9.9372
1.22304,1.75812,8.4084
1.22304,1.75812,8.4084
1.22304,1.75812,8.4084
1.22304,1.75812,8.4084
0.99372,2.44608,9.1728
0.99372,2.44608,9.1728
0.99372,2.44608,9.1728
0.7644,1.911,9.09636
0.7644,1.911,9.09636
0.91728,1.911,8.56128
0.91728,1.911,8.56128
0.91728,1.911,8.56128
0.91728,1.911,8.56128
0.91728,1.98744,9.09636
0.91728,1.98744,9.09636
0.91728,1.98744,9.09636
0.91728,1.98744,9.09636
0.68796,1.911,10.3958
0.68796,1.911,10.3958
0.68796,1.911,10.3958
0.68796,1.911,10.3958
0.45864,1.5288,9.78432
0.45864,1.5288,9.78432
0.45864,1.5288,9.78432
0.45864,1.5288,9.78432
0.53508,2.06388,9.1728
0.53508,2.06388,9.1728
0.7644,2.14032,9.40212
0.7644,2.14032,9.40212
0.7644,2.14032,9.40212
1.1466,2.44608,8.71416
1.1466,2.44608,8.71416
1.1466,2.44608,8.71416
1.1466,2.44608,8.71416
0.91728,1.75812,8.48484
0.91728,1.75812,8.48484
0.91728,1.75812,8.48484
0.91728,1.75812,8.48484
0.91728,1.75812,8.48484
0.30576,2.44608,9.9372
0.30576,2.44608,9.9372
0.30576,2.44608,9.9372
0.30576,2.44608,9.9372
0.68796,2.06388,10.0136
0.68796,2.06388,10.0136
0.68796,2.06388,10.0136
0.68796,2.06388,10.0136
1.07016,2.2932,9.40212
1.07016,2.2932,9.40212
1.07016,2.2932,9.40212
0.91728,2.6754,9.1728
0.91728,2.6754,9.1728
0.91728,2.6754,9.1728
0.91728,2.6754,9.1728
0.61152,2.06388,8.71416
0.61152,2.06388,8.71416
0.61152,2.06388,8.71416
0.61152,2.06388,8.71416
0.99372,2.21676,9.24924
0.99372,2.21676,9.24924
0.99372,2.21676,9.24924
0.99372,2.21676,9.24924
0.68796,2.21676,9.78432
0.68796,2.21676,9.78432
0.68796,2.21676,9.78432
0.68796,2.21676,9.78432
0.68796,2.21676,9.78432
1.22304,1.98744,7.79688
1.22304,1.98744,7.79688
1.22304,1.98744,7.79688
1.22304,1.98744,7.79688
0.7644,2.14032,9.47856
0.7644,2.14032,9.47856
0.7644,2.14032,9.47856
0.7644,2.14032,9.47856
0.84084,1.75812,8.33196
0.84084,1.75812,8.33196
0.84084,1.75812,8.33196
0.84084,1.75812,8.33196
0.84084,2.36964,9.47856
0.84084,2.36964,9.47856
0.84084,2.36964,9.47856
0.84084,2.36964,9.47856
0.84084,2.36964,9.47856
0.7644,1.68168,8.33196
0.7644,1.68168,8.33196
0.7644,1.68168,8.33196
0.7644,1.68168,8.33196
0.99372,1.83456,9.70788
0.99372,1.83456,9.70788
0.99372,1.83456,9.70788
0.99372,1.83456,9.70788
0.61152,2.06388,10.3958
0.61152,2.06388,10.3958
0.61152,2.06388,10.3958
0.61152,2.06388,10.3958
1.5288,1.75812,9.1728
1.5288,1.75812,9.1728
1.5288,1.75812,9.1728
1.5288,1.75812,9.1728
1.5288,1.75812,9.1728
0.53508,2.59896,9.86076
0.53508,2.59896,9.86076
0.53508,2.59896,9.86076
0.53508,2.59896,9.86076
0.53508,2.44608,9.47856
0.53508,2.44608,9.47856
0.53508,2.44608,9.47856
0.53508,2.44608,9.47856
1.07016,1.60524,8.94348
1.07016,1.60524,8.94348
1.07016,1.60524,8.94348
1.29948,1.911,9.09636
1.29948,1.911,9.09636
1.29948,1.911,9.09636
0.7644,1.60524,8.71416
0.7644,1.60524,8.71416
0.7644,1.60524,8.71416
0.7644,1.60524,8.71416
0.7644,1.60524,8.71416
0.91728,1.45236,8.17908
0.91728,1.45236,8.17908
0.91728,1.45236,8.17908
0.91728,1.45236,8.17908
0.99372,2.14032,9.9372
0.99372,2.14032,9.9372
0.99372,2.14032,9.9372
0.99372,2.14032,9.9372
0.61152,2.14032,9.78432
0.61152,2.14032,9.78432
0.61152,2.14032,9.78432
0.61152,2.14032,9.78432
0.84084,2.44608,10.0901
0.84084,2.44608,10.0901
0.84084,2.44608,10.0901
0.84084,2.44608,10.0901
0.84084,2.44608,10.0901
0.91728,2.06388,9.1728
0.91728,2.06388,9.1728
0.91728,2.06388,9.1728
0.91728,2.06388,9.1728
0.7644,2.59896,9.86076
0.7644,2.59896,9.86076
0.7644,2.59896,9.86076
0.7644,2.59896,9.86076
0.68796,2.36964,9.47856
0.68796,2.36964,9.47856
0.68796,2.36964,9.47856
0.68796,2.36964,9.47856
1.45236,1.98744,8.94348
1.45236,1.98744,8.94348
1.45236,1.98744,8.94348
1.45236,1.98744,8.94348
1.45236,1.98744,8.94348
1.60524,1.98744,9.24924
1.60524,1.98744,9.24924
1.60524,1.98744,9.24924
1.60524,1.98744,9.24924
0.53508,3.0576,9.70788
0.53508,3.0576,9.70788
0.53508,3.0576,9.70788
0.53508,3.0576,9.70788
0.45864,3.0576,10.0136
0.45864,3.0576,10.0136
0.45864,3.0576,10.0136
0.45864,3.0576,10.0136
0.61152,2.98116,9.24924
0.61152,2.98116,9.24924
0.61152,2.98116,9.24924
0.61152,2.98116,9.24924
0.45864,3.0576,9.86076
0.45864,3.0576,9.86076
0.45864,3.0576,9.86076
0.45864,3.0576,9.86076
1.45236,2.36964,9.01992
1.45236,2.36964,9.01992
1.45236,2.36964,9.01992
1.45236,2.36964,9.01992
1.45236,2.36964,9.01992
1.29948,1.83456,8.7906
1.29948,1.83456,8.7906
1.29948,1.83456,8.7906
1.29948,1.83456,8.7906
0.45864,2.36964,9.40212
0.45864,2.36964,9.40212
0.45864,2.36964,9.40212
0.45864,2.36964,9.40212
0.53508,1.98744,10.0136
0.53508,1.98744,10.0136
0.53508,1.98744,10.0136
0.53508,1.98744,10.0136
0.84084,2.2932,8.63772
0.84084,2.2932,8.63772
0.84084,2.2932,8.63772
0.84084,2.2932,8.63772
0.91728,1.68168,9.40212
0.91728,1.68168,9.40212
0.91728,1.68168,9.40212
0.91728,1.68168,9.40212
0.68796,2.2932,10.243
0.68796,2.2932,10.243
0.68796,2.2932,10.243
0.68796,2.2932,10.243
1.37592,1.911,9.09636
1.37592,1.911,9.09636
1.37592,1.911,9.09636
1.37592,1.911,9.09636
1.37592,1.911,9.09636
0.7644,2.52252,8.94348
0.7644,2.52252,8.94348
0.7644,2.52252,8.94348
0.7644,2.52252,8.94348
0.68796,2.36964,9.47856
0.68796,2.36964,9.47856
0.68796,2.36964,9.47856
0.68796,2.36964,9.47856
1.29948,1.45236,8.63772
1.29948,1.45236,8.63772
1.29948,1.45236,8.63772
1.29948,1.45236,8.63772
1.5288,1.83456,8.94348
1.5288,1.83456,8.94348
1.5288,1.83456,8.94348
1.5288,1.83456,8.94348
1.5288,1.83456,8.94348
0.84084,2.44608,8.7906
0.84084,2.44608,8.7906
0.84084,2.44608,8.7906
0.84084,2.44608,8.7906
0.68796,1.911,9.1728
0.68796,1.911,9.1728
0.68796,1.911,9.1728
0.68796,1.911,9.1728
1.22304,2.14032,9.09636
1.22304,2.14032,9.09636
1.22304,2.14032,9.09636
1.22304,2.14032,9.09636
0.61152,2.44608,9.09636
0.61152,2.44608,9.09636
0.61152,2.44608,9.09636
1.22304,1.75812,8.86704
0.91728,1.98744,8.33196
0.91728,1.98744,8.33196
0.91728,1.98744,8.33196
0.91728,1.98744,8.33196
0.91728,1.98744,8.33196
1.68168,1.83456,8.86704
1.68168,1.83456,8.86704
1.68168,1.83456,8.86704
1.68168,1.83456,8.86704
1.45236,1.98744,8.7906
1.45236,1.98744,8.7906
1.45236,1.98744,8.7906
1.45236,1.98744,8.7906
0.30576,2.44608,9.70788
0.30576,2.44608,9.70788
0.30576,2.44608,9.70788
0.30576,2.44608,9.70788
0.68796,2.06388,9.63144
0.68796,2.06388,9.63144
0.68796,2.06388,9.63144
0.68796,2.06388,9.63144
0.68796,2.06388,9.63144
0.99372,2.2932,8.25552
0.99372,2.2932,8.25552
0.99372,2.2932,8.25552
0.99372,2.2932,8.25552
0.3822,2.2932,8.94348
0.3822,2.2932,8.94348
0.3822,2.2932,8.94348
0.3822,2.2932,8.94348
1.07016,2.2932,7.79688
1.07016,2.2932,7.79688
1.07016,2.2932,7.79688
1.07016,2.2932,7.79688
0.68796,1.45236,9.09636
0.68796,1.45236,9.09636
0.68796,1.45236,9.09636
0.68796,1.45236,9.09636
0.68796,1.45236,9.09636
1.07016,1.75812,7.79688
1.07016,1.75812,7.79688
1.07016,1.75812,7.79688
1.07016,1.75812,7.79688
0.68796,2.75184,8.94348
0.68796,2.75184,8.94348
0.68796,2.75184,8.94348
0.68796,2.75184,8.94348
1.22304,2.44608,8.56128
1.22304,2.44608,8.56128
1.22304,2.44608,8.56128
1.22304,2.44608,8.56128
1.22304,2.44608,8.56128
1.75812,1.911,8.7906
1.75812,1.911,8.7906
1.75812,1.911,8.7906
1.75812,1.911,8.7906
0.61152,2.21676,9.01992
