x,y,z
0.84084,1.45236,8.56128
0.84084,1.45236,8.56128
0.91728,1.5288,8.10264
0.91728,1.5288,8.10264
0.91728,1.5288,8.10264
0.91728,1.5288,8.10264
1.37592,1.5288,8.48484
1.37592,1.5288,8.48484
1.37592,1.5288,8.48484
1.37592,1.5288,8.48484
1.75812,1.1466,8.7906
1.75812,1.1466,8.7906
1.75812,1.1466,8.7906
1.75812,1.1466,8.7906
0.91728,1.5288,8.33196
0.91728,1.5288,8.33196
0.91728,1.5288,8.33196
0.91728,1.5288,8.33196
1.07016,1.07016,8.63772
1.07016,1.07016,8.63772
1.07016,1.07016,8.63772
1.07016,1.07016,8.63772
0.84084,2.14032,9.1728
0.84084,2.14032,9.1728
0.84084,2.14032,9.1728
0.84084,2.14032,9.1728
0.84084,2.14032,9.1728
0.7644,1.37592,8.7906
0.7644,1.37592,8.7906
0.7644,1.37592,8.7906
0.7644,1.37592,8.7906
1.22304,1.22304,9.32568
1.22304,1.22304,9.32568
1.22304,1.22304,9.32568
1.22304,1.22304,9.32568
0.99372,1.75812,8.0262
0.99372,1.75812,8.0262
0.99372,1.75812,8.0262
0.99372,1.75812,8.0262
0.91728,1.22304,8.7906
0.91728,1.22304,8.7906
0.91728,1.22304,8.7906
0.91728,1.22304,8.7906
1.60524,1.29948,7.03248
1.60524,1.29948,7.03248
1.60524,1.29948,7.03248
1.60524,1.29948,7.03248
0.7644,2.59896,8.86704
0.7644,2.59896,8.86704
0.7644,2.59896,8.86704
1.07016,1.29948,8.25552
1.07016,1.29948,8.25552
1.07016,1.29948,8.25552
1.07016,1.29948,8.25552
0.91728,1.68168,8.7906
0.91728,1.68168,8.7906
0.91728,1.68168,8.7906
0.91728,1.68168,8.7906
0.45864,2.59896,9.555
0.45864,2.59896,9.555
0.45864,2.59896,9.555
0.45864,2.59896,9.555
0.99372,1.37592,8.4084
0.99372,1.37592,8.4084
0.99372,1.37592,8.4084
1.22304,1.37592,8.48484
1.22304,1.37592,8.48484
1.22304,1.37592,8.48484
1.22304,1.37592,8.48484
1.22304,1.37592,8.48484
1.22304,1.37592,8.7906
1.22304,1.37592,8.7906
1.22304,1.37592,8.7906
1.22304,1.37592,8.7906
1.1466,1.29948,9.24924
1.1466,1.29948,9.24924
1.1466,1.29948,9.24924
1.1466,1.29948,9.24924
0.99372,1.60524,9.1728
0.99372,1.60524,9.1728
0.99372,1.60524,9.1728
0.99372,1.60524,9.1728
0.68796,1.75812,8.10264
0.68796,1.75812,8.10264
0.68796,1.75812,8.10264
0.68796,1.75812,8.10264
1.45236,1.29948,7.644
1.45236,1.29948,7.644
1.45236,1.29948,7.644
1.45236,1.29948,7.644
1.45236,1.29948,7.644
0.84084,1.1466,8.4084
0.84084,1.1466,8.4084
0.84084,1.1466,8.4084
0.84084,1.1466,8.4084
0.53508,2.21676,9.555
0.53508,2.21676,9.555
0.53508,2.21676,9.555
0.53508,2.21676,9.555
1.07016,0.99372,7.72044
1.07016,0.99372,7.72044
1.07016,0.99372,7.72044
1.07016,0.99372,7.72044
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
0.99372,2.06388,8.71416
0.99372,2.06388,8.71416
0.99372,2.06388,8.71416
0.99372,2.06388,8.71416
0.91728,1.5288,8.94348
0.91728,1.5288,8.94348
0.91728,1.5288,8.94348
0.91728,1.5288,8.94348
1.5288,1.60524,8.56128
1.5288,1.60524,8.56128
1.5288,1.60524,8.56128
1.5288,1.60524,8.56128
1.5288,1.60524,8.56128
1.22304,1.75812,8.48484
1.22304,1.75812,8.48484
1.22304,1.75812,8.48484
1.22304,1.75812,8.48484
1.45236,1.45236,8.17908
1.45236,1.45236,8.17908
1.45236,1.45236,8.17908
1.45236,1.45236,8.17908
1.07016,1.75812,9.63144
1.07016,1.75812,9.63144
1.07016,1.5288,7.94976
1.07016,1.5288,7.94976
1.07016,1.5288,7.94976
1.07016,1.5288,7.94976
1.07016,1.5288,7.94976
1.22304,1.29948,8.25552
1.22304,1.29948,8.25552
1.22304,1.29948,8.25552
1.22304,1.29948,8.25552
1.37592,1.60524,8.33196
1.37592,1.60524,8.33196
1.37592,1.60524,8.33196
1.37592,1.60524,8.33196
1.1466,1.45236,8.10264
1.1466,1.45236,8.10264
1.1466,1.45236,8.10264
1.1466,1.45236,8.10264
1.1466,1.45236,8.10264
0.7644,0.91728,8.48484
0.7644,0.91728,8.48484
0.7644,0.91728,8.48484
0.7644,0.91728,8.48484
0.99372,1.07016,9.32568
0.99372,1.07016,9.32568
0.99372,1.07016,9.32568
0.99372,1.07016,9.32568
0.91728,1.68168,9.63144
0.91728,1.68168,9.63144
0.91728,1.68168,9.63144
0.91728,1.68168,9.63144
0.99372,1.911,9.78432
0.99372,1.911,9.78432
0.99372,1.911,9.78432
0.99372,1.911,9.78432
0.99372,1.911,9.78432
0.84084,1.68168,8.94348
0.84084,1.68168,8.94348
0.84084,1.68168,8.94348
0.84084,1.68168,8.94348
1.07016,1.1466,8.0262
1.07016,1.1466,8.0262
1.07016,1.1466,8.0262
1.07016,1.1466,8.0262
0.61152,2.36964,9.09636
0.61152,2.36964,9.09636
0.61152,2.36964,9.09636
0.61152,2.36964,9.09636
0.91728,1.68168,8.94348
0.91728,1.68168,8.94348
0.91728,1.68168,8.94348
0.91728,1.37592,8.56128
0.91728,1.37592,8.56128
0.91728,1.37592,8.56128
0.91728,1.37592,8.56128
1.29948,1.37592,8.7906
1.29948,1.37592,8.7906
1.29948,1.37592,8.7906
1.29948,1.37592,8.7906
1.68168,0.99372,7.03248
1.68168,0.99372,7.03248
1.68168,0.99372,7.03248
1.68168,0.99372,7.03248
1.37592,1.22304,7.94976
1.37592,1.22304,7.94976
1.37592,1.22304,7.94976
1.37592,1.22304,7.94976
1.37592,1.22304,7.94976
1.07016,0.61152,8.0262
1.07016,0.61152,8.0262
1.07016,0.61152,8.0262
1.07016,0.61152,8.0262
0.99372,1.07016,7.94976
0.99372,1.07016,7.94976
0.99372,1.07016,7.94976
0.99372,1.07016,7.94976
1.07016,0.30576,7.79688
1.07016,0.30576,7.79688
1.07016,0.30576,7.79688
1.07016,0.30576,7.79688
1.22304,0.61152,7.644
1.22304,0.61152,7.644
1.22304,0.61152,7.644
1.22304,0.61152,7.644
1.45236,0.61152,9.70788
1.45236,0.61152,9.70788
1.45236,0.61152,9.70788
1.45236,0.61152,9.70788
1.22304,1.68168,8.48484
1.22304,1.68168,8.48484
1.22304,1.68168,8.48484
1.22304,1.68168,8.48484
1.22304,1.22304,9.78432
1.22304,1.22304,9.78432
1.22304,1.22304,9.78432
1.22304,1.22304,9.78432
1.22304,1.22304,9.78432
1.5288,1.45236,8.4084
1.5288,1.45236,8.4084
1.5288,1.45236,8.4084
1.5288,1.45236,8.4084
1.29948,1.29948,8.56128
1.29948,1.29948,8.56128
1.29948,1.29948,8.56128
1.29948,1.29948,8.56128
0.68796,1.911,9.09636
0.68796,1.911,9.09636
0.68796,1.911,9.09636
0.68796,1.911,9.09636
0.68796,1.911,9.09636
0.53508,1.5288,8.94348
0.53508,1.5288,8.94348
0.53508,1.5288,8.94348
0.53508,1.5288,8.94348
1.1466,1.75812,8.86704
1.1466,1.75812,8.86704
1.1466,1.75812,8.86704
1.1466,1.75812,8.86704
0.91728,2.21676,9.40212
0.91728,2.21676,9.40212
0.91728,2.21676,9.40212
0.91728,2.21676,9.40212
0.91728,1.98744,9.24924
0.91728,1.98744,9.24924
0.91728,1.98744,9.24924
0.91728,1.98744,9.24924
1.60524,1.22304,9.09636
0.84084,1.68168,8.7906
0.84084,1.68168,8.7906
0.84084,1.68168,8.7906
0.7644,1.911,9.01992
0.7644,1.911,9.01992
0.7644,1.911,9.01992
0.7644,1.911,9.01992
0.7644,1.911,9.01992
1.45236,1.75812,8.33196
1.45236,1.75812,8.33196
1.45236,1.75812,8.33196
1.45236,1.75812,8.33196
0.53508,2.06388,9.24924
0.53508,2.06388,9.24924
0.53508,2.06388,9.24924
0.53508,2.06388,9.24924
0.61152,2.14032,8.86704
0.61152,2.14032,8.86704
0.61152,2.14032,8.86704
0.61152,2.14032,8.86704
0.91728,2.44608,9.32568
0.91728,2.44608,9.32568
0.91728,2.44608,9.32568
0.91728,2.44608,9.32568
0.91728,2.44608,9.32568
1.45236,1.22304,8.63772
1.45236,1.22304,8.63772
1.45236,1.22304,8.63772
1.45236,1.22304,8.63772
1.07016,1.45236,8.86704
1.07016,1.45236,8.86704
1.07016,1.45236,8.86704
1.07016,1.45236,8.86704
1.45236,1.1466,8.10264
1.45236,1.1466,8.10264
1.45236,1.1466,8.10264
1.45236,1.1466,8.10264
1.45236,1.1466,8.10264
0.61152,1.68168,8.63772
0.61152,1.68168,8.63772
0.61152,1.68168,8.63772
0.61152,1.68168,8.63772
1.1466,1.29948,8.63772
1.1466,1.29948,8.63772
1.1466,1.29948,8.63772
1.1466,1.29948,8.63772
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
1.07016,1.22304,8.25552
0.84084,1.83456,9.01992
0.84084,1.83456,9.01992
0.84084,1.83456,9.01992
0.84084,1.83456,9.01992
1.68168,1.1466,8.86704
1.68168,1.1466,8.86704
1.68168,1.1466,8.86704
1.68168,1.1466,8.86704
0.84084,1.60524,7.56756
0.84084,1.60524,7.56756
0.84084,1.60524,7.56756
0.84084,1.60524,7.56756
1.29948,1.22304,9.78432
1.29948,1.22304,9.78432
1.29948,1.22304,9.78432
1.29948,1.22304,9.78432
1.29948,1.22304,9.78432
1.07016,1.5288,8.86704
1.07016,1.5288,8.86704
1.07016,1.5288,8.86704
1.07016,1.5288,8.86704
0.53508,1.60524,9.70788
0.53508,1.60524,9.70788
0.53508,1.60524,9.70788
0.53508,1.60524,9.70788
0.7644,2.21676,9.70788
0.7644,2.21676,9.70788
0.7644,2.21676,9.70788
0.7644,2.21676,9.70788
1.29948,1.68168,8.86704
1.29948,1.68168,8.86704
1.29948,1.68168,8.86704
1.29948,1.68168,8.86704
0.91728,1.5288,8.17908
0.91728,1.5288,8.17908
0.91728,1.5288,8.17908
0.91728,1.5288,8.17908
0.91728,1.5288,8.17908
1.07016,1.5288,8.10264
1.07016,1.5288,8.10264
1.07016,1.5288,8.10264
1.07016,1.5288,8.10264
1.1466,1.37592,8.63772
1.1466,1.37592,8.63772
1.1466,1.37592,8.63772
1.1466,1.37592,8.63772
1.5288,1.22304,8.71416
1.5288,1.22304,8.71416
1.5288,1.22304,8.71416
1.5288,1.22304,8.71416
0.84084,1.83456,9.09636
0.84084,1.83456,9.09636
0.84084,1.83456,9.09636
0.84084,1.83456,9.09636
1.22304,1.60524,9.555
1.22304,1.60524,9.555
1.22304,1.60524,9.555
1.22304,1.60524,9.555
1.22304,1.60524,9.555
1.07016,1.1466,8.94348
1.07016,1.1466,8.94348
1.07016,1.1466,8.94348
1.07016,1.1466,8.94348
0.53508,1.911,9.63144
0.53508,1.911,9.63144
0.53508,1.911,9.63144
0.53508,1.911,9.63144
1.45236,1.83456,9.01992
1.45236,1.83456,9.01992
1.45236,1.83456,9.01992
1.45236,1.83456,9.01992
1.45236,1.83456,9.01992
1.60524,1.22304,9.09636
1.60524,1.22304,9.09636
1.60524,1.22304,9.09636
1.60524,1.22304,9.09636
0.91728,1.83456,9.32568
0.91728,1.83456,9.32568
0.91728,1.83456,9.32568
0.91728,1.83456,9.32568
1.22304,1.5288,8.71416
1.22304,1.5288,8.71416
1.22304,1.5288,8.71416
1.22304,1.5288,8.71416
1.1466,0.7644,8.48484
1.1466,0.7644,8.48484
1.1466,0.7644,8.48484
1.1466,0.7644,8.48484
1.1466,0.7644,8.48484
1.07016,0.99372,7.87332
1.07016,0.99372,7.87332
1.07016,0.99372,7.87332
1.07016,0.99372,7.87332
1.07016,0.53508,8.63772
1.07016,0.53508,8.63772
1.07016,0.53508,8.63772
1.07016,0.53508,8.63772
0.91728,1.60524,8.94348
0.91728,1.60524,8.94348
0.91728,1.60524,8.94348
0.91728,1.60524,8.94348
0.91728,1.5288,8.56128
0.91728,1.5288,8.56128
0.91728,1.5288,8.56128
0.91728,1.5288,8.56128
0.91728,1.5288,8.56128
0.61152,1.68168,9.32568
0.61152,1.68168,9.32568
0.61152,1.68168,9.32568
0.61152,1.68168,9.32568
0.91728,1.45236,9.1728
0.91728,1.45236,9.1728
0.91728,1.45236,9.1728
0.91728,1.45236,9.1728
0.91728,1.1466,8.86704
0.91728,1.1466,8.86704
0.91728,1.1466,8.86704
0.91728,1.1466,8.86704
1.1466,1.83456,9.555
1.1466,1.83456,9.555
1.1466,1.83456,9.555
1.1466,1.83456,9.555
1.1466,1.83456,9.555
1.60524,1.5288,8.7906
1.60524,1.5288,8.7906
1.60524,1.5288,8.7906
1.60524,1.5288,8.7906
0.91728,2.2932,8.94348
0.91728,2.2932,8.94348
0.91728,2.2932,8.94348
0.91728,2.2932,8.94348
0.84084,1.75812,8.71416
0.84084,1.75812,8.71416
0.84084,1.75812,8.71416
0.84084,1.75812,8.71416
0.84084,1.75812,8.71416
1.45236,1.22304,9.09636
1.45236,1.22304,9.09636
1.45236,1.22304,9.09636
1.45236,1.22304,9.09636
1.83456,1.37592,8.63772
1.83456,1.37592,8.63772
1.83456,1.37592,8.63772
1.83456,1.37592,8.63772
0.84084,1.60524,9.78432
0.84084,1.60524,9.78432
0.84084,1.60524,9.78432
0.84084,1.60524,9.78432
0.53508,1.911,8.63772
0.53508,1.911,8.63772
0.53508,1.911,8.63772
0.53508,1.911,8.63772
0.53508,1.911,8.63772
1.22304,1.68168,9.01992
1.22304,1.68168,9.01992
1.22304,1.68168,9.01992
1.1466,1.911,9.32568
1.1466,1.911,9.32568
1.1466,1.911,9.32568
1.1466,1.911,9.32568
0.99372,2.14032,9.01992
0.99372,2.14032,9.01992
0.99372,2.14032,9.01992
0.99372,2.14032,9.01992
0.99372,2.14032,9.01992
0.99372,1.29948,8.4084
0.99372,1.29948,8.4084
0.99372,1.29948,8.4084
0.99372,1.29948,8.4084
1.1466,1.5288,10.5487
1.1466,1.5288,10.5487
1.1466,1.5288,10.5487
1.1466,1.5288,10.5487
1.07016,1.68168,9.01992
1.07016,1.68168,9.01992
1.07016,1.68168,9.01992
1.07016,1.68168,9.01992
0.84084,1.911,9.32568
0.84084,1.911,9.32568
0.84084,1.911,9.32568
0.84084,1.911,9.32568
0.84084,1.911,9.32568
0.84084,1.83456,9.1728
0.84084,1.83456,9.1728
0.84084,1.83456,9.1728
0.84084,1.83456,9.1728
1.5288,1.45236,8.71416
1.5288,1.45236,8.71416
1.5288,1.45236,8.71416
1.5288,1.45236,8.71416
0.61152,2.2932,10.0136
0.61152,2.2932,10.0136
0.61152,2.2932,10.0136
0.61152,2.2932,10.0136
0.91728,1.5288,9.40212
0.91728,1.5288,9.40212
0.91728,1.5288,9.40212
0.91728,1.5288,9.40212
