x,y,z
-5.65656,0.91728,9.01992
-6.26808,-0.53508,8.4084
-7.18536,-1.68168,6.80316
-6.72672,-1.07016,4.5864
-6.19164,0.61152,3.66912
-6.1152,0.45864,3.89844
-7.49112,0.68796,3.97488
-6.95604,1.75812,4.5864
-5.58012,2.36964,5.65656
-5.42724,2.44608,5.3508
-4.5864,2.52252,4.28064
-4.66284,1.83456,3.59268
-5.50368,0.84084,3.4398
-4.66284,0.84084,3.36336
-4.5864,2.44608,4.28064
-5.12148,4.35708,6.95604
-7.03248,6.03876,9.78432
-6.42096,6.80316,11.8482
-6.34452,5.80944,12.689
-6.57384,4.2042,12.689
-7.41468,2.98116,14.1414
-8.94348,1.911,15.1351
-9.63144,3.0576,15.7466
-7.41468,3.89844,15.288
-5.96232,4.43352,15.2116
-6.19164,2.6754,14.3707
-7.41468,0.22932,12.8419
-6.26808,0.53508,11.3131
-4.89216,0.99372,9.09636
-5.88588,1.07016,7.56756
-5.733,0.53508,6.03876
-5.12148,1.37592,4.89216
-3.822,2.06388,4.12776
-0.68796,1.1466,8.33196
-0.45864,1.1466,9.09636
-0.3822,1.07016,8.48484
0,1.45236,9.09636
-0.53508,1.98744,8.48484
-0.84084,1.68168,8.56128
-0.53508,2.52252,9.47856
-0.7644,2.14032,10.0136
-0.3822,1.45236,9.24924
-0.7644,1.60524,9.09636
-0.45864,1.5288,9.09636
-0.22932,1.75812,9.47856
-0.22932,1.75812,9.47856
-0.22932,1.75812,9.47856
-0.22932,1.75812,9.47856
-0.53508,1.22304,7.79688
-0.53508,1.22304,7.79688
-0.53508,1.22304,7.79688
-0.15288,0.84084,8.56128
-0.15288,0.84084,8.56128
-0.45864,1.1466,8.94348
-0.45864,1.1466,8.94348
-0.45864,1.1466,8.94348
-0.68796,1.29948,8.7906
-0.68796,1.29948,8.7906
-0.68796,1.29948,8.7906
-0.68796,1.29948,8.7906
-0.68796,1.29948,8.7906
-0.84084,1.37592,9.1728
-0.84084,1.37592,9.1728
-0.84084,1.37592,9.1728
-0.84084,1.37592,9.1728
-1.1466,1.68168,9.09636
-1.1466,1.68168,9.09636
-1.1466,1.68168,9.09636
-0.7644,0.91728,10.0136
-0.7644,0.91728,10.0136
-0.7644,0.91728,10.0136
-0.7644,0.91728,10.0136
-0.68796,1.98744,8.86704
-0.68796,1.98744,8.86704
-0.68796,1.98744,8.86704
-0.68796,1.98744,8.86704
-0.68796,1.22304,8.94348
-0.68796,1.22304,8.94348
-0.68796,1.22304,8.94348
-0.68796,1.22304,8.94348
-0.15288,1.83456,8.48484
-0.15288,1.83456,8.48484
-0.15288,1.83456,8.48484
-0.15288,1.83456,8.48484
-0.3822,1.07016,9.70788
-0.3822,1.07016,9.70788
-0.3822,1.07016,9.70788
-0.3822,1.07016,9.70788
-0.30576,1.98744,9.09636
-0.30576,1.98744,9.09636
-0.30576,1.98744,9.09636
-0.30576,1.98744,9.09636
-0.30576,1.1466,8.71416
-0.30576,1.1466,8.71416
-0.30576,1.1466,8.71416
-0.30576,1.1466,8.71416
-0.68796,0.84084,9.40212
-0.68796,0.84084,9.40212
-0.68796,0.84084,9.40212
-0.68796,0.84084,9.40212
-0.68796,1.29948,8.33196
-0.68796,1.29948,8.33196
-0.68796,1.29948,8.33196
-0.68796,1.29948,8.33196
-0.84084,1.911,8.48484
-0.84084,1.911,8.48484
-0.84084,1.911,8.48484
-0.84084,1.911,8.48484
-0.84084,1.911,8.48484
-0.53508,1.68168,10.0901
-0.53508,1.68168,10.0901
-0.53508,1.68168,10.0901
-0.53508,1.68168,10.0901
-0.22932,1.68168,8.0262
-0.22932,1.68168,8.0262
-0.22932,1.68168,8.0262
-0.22932,1.68168,8.0262
-0.22932,1.5288,8.71416
-0.22932,1.5288,8.71416
-0.22932,1.5288,8.71416
-0.22932,1.5288,8.71416
-1.22304,1.98744,9.01992
-1.22304,1.98744,9.01992
-1.22304,1.98744,9.01992
-1.22304,1.98744,9.01992
-0.53508,1.911,9.40212
-0.53508,1.911,9.40212
-0.53508,1.911,9.40212
-0.53508,1.911,9.40212
-0.7644,1.1466,8.0262
-0.7644,1.1466,8.0262
-0.7644,1.1466,9.1728
-0.7644,1.1466,9.1728
-0.7644,1.1466,9.1728
-0.7644,1.1466,9.1728
-0.7644,1.1466,9.1728
-0.84084,1.60524,8.17908
-0.84084,1.60524,8.17908
-0.84084,1.60524,8.17908
-0.84084,1.60524,8.17908
-0.22932,1.60524,8.94348
-0.22932,1.60524,8.94348
-0.22932,1.60524,8.94348
-0.22932,1.60524,8.94348
-0.99372,2.21676,9.32568
-0.99372,2.21676,9.32568
-0.99372,2.21676,9.32568
-0.99372,2.21676,9.32568
-0.7644,1.5288,9.24924
-0.7644,1.5288,9.24924
-0.7644,1.5288,9.24924
-0.7644,1.5288,9.24924
-0.53508,1.5288,9.63144
-0.53508,1.5288,9.63144
-0.53508,1.5288,9.63144
-0.53508,1.5288,9.63144
-0.53508,1.5288,9.63144
-0.3822,1.75812,8.56128
-0.3822,1.75812,8.56128
-0.3822,1.75812,8.56128
-0.3822,1.75812,8.56128
-0.15288,1.45236,8.63772
-0.15288,1.45236,8.63772
-0.15288,1.45236,8.63772
-0.15288,1.45236,8.63772
-0.68796,1.22304,8.33196
-0.68796,1.22304,8.33196
-0.68796,1.22304,8.33196
-0.68796,1.22304,8.33196
-0.45864,1.68168,8.7906
-0.45864,1.68168,8.7906
-0.45864,1.68168,8.7906
-0.45864,1.68168,8.7906
0,1.37592,7.94976
0,1.37592,7.94976
