x,y,z
-0.68796,0.45864,8.25552
-0.61152,0.22932,8.17908
-0.61152,0.22932,8.17908
-1.1466,0.61152,8.7906
-1.1466,0.61152,8.7906
-1.1466,0.61152,8.7906
-0.61152,0.7644,6.4974
-0.61152,0.7644,6.4974
-0.61152,0.7644,6.4974
-0.7644,0.68796,8.48484
-0.7644,0.68796,8.48484
-0.7644,0.68796,8.48484
-0.3822,0.53508,9.09636
-0.3822,0.53508,9.09636
-0.3822,0.53508,9.09636
-0.30576,0.22932,7.644
-0.30576,0.22932,7.644
-0.30576,0.22932,7.644
-0.22932,0.15288,8.56128
-0.22932,0.15288,8.56128
-0.22932,0.15288,8.56128
0,0.07644,8.56128
0,0.07644,8.56128
0,0.07644,8.56128
0,0,7.87332
-0.53508,0.3822,7.94976
-1.07016,0,8.71416
-0.84084,0.53508,8.10264
-0.84084,0.53508,8.10264
-1.22304,0.15288,8.17908
-1.22304,0.45864,8.4084
-0.68796,0.68796,8.10264
-0.07644,0,9.09636
-0.07644,0,9.09636
-0.45864,0.61152,8.48484
-0.53508,0.45864,8.10264
-1.07016,0.3822,9.40212
-0.07644,0.84084,8.7906
-1.07016,0.3822,8.17908
-0.7644,0.3822,8.33196
-0.68796,0.30576,8.48484
-0.30576,0.22932,8.10264
-0.30576,0.22932,8.10264
0,0.45864,7.87332
-0.99372,0.15288,8.10264
-0.07644,0,8.48484
-0.61152,0.30576,8.33196
-0.61152,0.30576,8.33196
-0.45864,0.53508,8.56128
-0.3822,0.15288,8.17908
-0.3822,0.15288,8.17908
-0.61152,0.84084,8.7906
-0.61152,0.53508,8.33196
-0.61152,0.53508,8.33196
-0.61152,0.53508,8.33196
-0.61152,0.61152,7.56756
-1.07016,0.22932,8.7906
0,0.30576,8.10264
-0.61152,0.3822,8.56128
0,0,8.63772
-0.53508,1.98744,7.33824
-0.68796,0.30576,8.4084
-0.15288,0.22932,6.95604
-0.61152,0.61152,8.4084
-2.44608,1.45236,8.4084
-2.44608,1.45236,8.4084
-1.1466,0,8.48484
-0.53508,0.30576,8.4084
-0.7644,0.53508,8.25552
-0.61152,0.53508,7.2618
-1.22304,1.1466,8.94348
-0.7644,0.15288,7.87332
-0.22932,0.91728,7.72044
-0.30576,0.3822,8.63772
-0.99372,0.99372,9.1728
-0.53508,0.30576,8.10264
-0.53508,0.30576,8.10264
-0.15288,0.53508,7.94976
-0.15288,0.53508,7.94976
-0.61152,0.22932,8.25552
-0.61152,0.22932,8.25552
0,0,7.94976
-0.45864,0.07644,8.17908
-0.3822,0.68796,8.86704
-0.53508,0.15288,8.10264
-0.7644,0.84084,8.63772
-0.7644,0.84084,8.63772
-0.68796,0.53508,7.72044
-0.53508,0.7644,8.48484
-0.68796,0.3822,8.25552
-0.22932,0,8.0262
-0.07644,0.45864,8.7906
-0.61152,0.7644,7.87332
-0.84084,0.7644,8.7906
-0.84084,0.7644,8.7906
-0.3822,0.22932,8.33196
-0.3822,0.22932,8.33196
-0.07644,0.53508,7.644
-0.07644,0.53508,7.644
-0.07644,0,6.72672
-0.61152,0.45864,8.48484
-0.61152,0.45864,8.48484
-0.3822,0.45864,7.72044
0,0.45864,7.87332
-0.53508,0.3822,8.7906
-0.53508,0.3822,8.7906
-0.22932,0.22932,8.10264
-0.68796,0.22932,8.48484
0,0.45864,8.48484
0,0.45864,8.48484
0,0.30576,8.17908
-0.30576,0.53508,8.25552
0,0.91728,8.56128
-0.84084,0.45864,8.17908
-0.15288,0.68796,9.86076
-0.15288,0.68796,9.86076
-0.07644,0.61152,8.17908
-1.22304,1.1466,9.09636
-0.61152,0.99372,9.1728
-0.61152,0.99372,9.1728
-0.7644,0.53508,8.33196
-1.22304,0.53508,9.09636
-1.22304,0.53508,7.94976
-0.3822,0.22932,8.4084
-0.22932,0.45864,9.70788
-0.30576,1.1466,8.63772
-1.07016,0.61152,7.56756
-0.84084,0,9.40212
-0.84084,0,9.40212
-0.45864,0.84084,8.86704
-0.30576,0.30576,8.63772
-0.61152,0.30576,8.63772
-0.61152,0.30576,8.63772
0,0.30576,8.71416
0,0.30576,8.71416
1.98744,0,7.33824
-0.3822,0.30576,8.33196
-0.3822,0.30576,8.33196
0,0.7644,7.87332
-0.53508,0.53508,8.63772
-0.7644,0.30576,8.94348
-0.68796,0.53508,8.7906
-0.68796,0.53508,8.7906
-0.84084,0.07644,8.86704
-0.84084,0.84084,9.01992
-0.3822,0.84084,8.94348
-0.3822,2.52252,7.33824
-1.22304,0.45864,9.24924
-0.45864,0.53508,8.94348
-0.45864,0.53508,8.94348
-0.3822,0.84084,8.25552
-0.61152,0.7644,8.7906
-0.61152,0.7644,8.7906
-0.53508,0.7644,8.63772
-2.44608,1.68168,8.71416
-2.44608,1.68168,8.71416
-0.30576,0.45864,8.7906
-0.53508,0.68796,9.01992
-0.53508,0.68796,9.01992
-0.7644,0.91728,8.56128
-0.7644,0.91728,8.56128
-0.07644,1.22304,9.40212
-0.22932,1.75812,7.79688
0.22932,0.45864,8.63772
-0.53508,0.91728,8.48484
-1.22304,0.68796,9.09636
-0.68796,0.84084,8.17908
-0.68796,0.84084,8.17908
-0.68796,0.84084,8.17908
-1.07016,0.30576,9.24924
-1.07016,0.30576,9.24924
-0.22932,0.53508,8.7906
-1.1466,0.84084,8.33196
-1.22304,0.45864,9.24924
-1.37592,0.7644,9.1728
0.22932,0.53508,8.17908
-0.45864,0.84084,8.86704
-0.68796,0.84084,8.10264
-0.68796,0.84084,8.10264
0,0.3822,8.17908
-0.3822,0.84084,8.71416
-0.3822,0.84084,8.71416
