x,y,z
0.84084,0.91728,8.94348
0.7644,1.07016,8.71416
0.7644,1.07016,8.71416
0.7644,1.07016,8.71416
0.7644,1.07016,8.71416
0.84084,1.1466,10.0901
0.84084,1.1466,10.0901
0.84084,1.1466,10.0901
0.84084,1.1466,10.0901
0.68796,0.99372,9.9372
0.68796,0.99372,9.9372
0.68796,0.99372,9.9372
0.68796,0.99372,9.9372
0.53508,1.37592,7.87332
0.53508,1.37592,7.87332
0.53508,1.37592,7.87332
0.53508,1.37592,7.87332
0.91728,1.07016,8.0262
0.91728,1.07016,8.0262
0.91728,1.07016,8.0262
0.91728,1.07016,8.0262
1.29948,0.99372,8.7906
1.29948,0.99372,8.7906
1.29948,0.99372,8.7906
1.29948,0.99372,8.7906
0.61152,1.60524,9.47856
0.61152,1.60524,9.47856
0.61152,1.60524,9.47856
0.61152,1.60524,9.47856
0.53508,1.45236,9.24924
0.53508,1.45236,9.24924
0.53508,1.45236,9.24924
0.53508,1.45236,9.24924
1.60524,0.61152,8.4084
1.60524,0.61152,8.4084
1.60524,0.61152,8.4084
1.60524,0.61152,8.4084
0.53508,1.07016,10.3194
0.53508,1.07016,10.3194
0.53508,1.07016,10.3194
0.53508,1.07016,10.3194
0.99372,1.83456,8.94348
0.99372,1.83456,8.94348
0.99372,1.83456,8.94348
1.22304,1.37592,9.01992
1.22304,1.37592,9.01992
1.22304,1.37592,9.01992
0.45864,1.22304,8.56128
0.45864,1.22304,8.56128
0.45864,1.22304,8.56128
0.7644,0.99372,8.4084
0.7644,0.99372,8.4084
0.7644,0.99372,8.4084
0.7644,0.99372,8.4084
0.30576,1.911,8.7906
0.30576,1.911,8.7906
0.30576,1.911,8.7906
0.30576,1.911,8.7906
0,1.83456,9.24924
0,1.83456,9.24924
0,1.83456,9.24924
0,1.83456,9.24924
0,1.83456,9.24924
1.22304,1.22304,8.71416
1.22304,1.22304,8.71416
1.22304,1.22304,8.71416
0.61152,1.37592,7.87332
0.61152,1.37592,7.87332
0.61152,1.37592,7.87332
0.61152,1.37592,7.87332
0.91728,1.37592,8.17908
0.91728,1.37592,8.17908
0.91728,1.37592,8.17908
0.91728,1.37592,8.17908
0.61152,1.29948,8.48484
0.61152,1.29948,8.48484
0.61152,1.29948,8.48484
0.61152,1.29948,8.48484
0.91728,0.68796,8.56128
0.91728,0.68796,8.56128
0.91728,0.68796,8.56128
0.91728,0.68796,8.56128
0.91728,0.68796,8.56128
0.91728,0.99372,9.9372
0.91728,0.99372,9.9372
0.91728,0.99372,9.9372
0.91728,0.99372,9.9372
0.45864,1.37592,8.7906
0.45864,1.37592,8.7906
0.45864,1.37592,8.7906
0.45864,1.37592,8.7906
0.68796,1.1466,8.33196
0.68796,1.1466,8.33196
0.68796,1.1466,8.33196
0.68796,1.1466,8.33196
0.91728,0.30576,8.48484
0.91728,0.30576,8.48484
0.91728,0.30576,8.48484
0.91728,0.30576,8.48484
0.91728,0.30576,8.48484
0.68796,1.22304,9.86076
0.68796,1.22304,9.86076
0.68796,1.22304,9.86076
0.68796,1.22304,9.86076
0.84084,1.1466,8.71416
0.84084,1.1466,8.71416
