x,y,z
0.07644,0.68796,8.86704
0,0.7644,9.24924
0,0.15288,9.09636
0,0.15288,9.09636
0.15288,0.68796,9.24924
0.15288,0.68796,9.24924
0.15288,0.53508,8.94348
-0.07644,0.68796,8.86704
-0.07644,0.68796,8.86704
0,0.91728,8.4084
0,0.91728,8.4084
-0.68796,0.61152,9.01992
0.07644,0.45864,8.7906
0.07644,0.45864,8.7906
0,0.7644,9.32568
0,0.61152,8.94348
0,0.61152,8.94348
-0.30576,0.84084,8.71416
0.45864,0.7644,8.71416
0.45864,0.7644,8.71416
-0.30576,0.84084,8.7906
-0.30576,0.84084,8.7906
0,1.37592,8.7906
0,0.45864,8.71416
0,0.45864,8.71416
-0.07644,0.99372,9.09636
-0.68796,1.5288,8.4084
-0.68796,1.5288,8.4084
0,0.15288,8.71416
-0.30576,0.61152,9.70788
-0.30576,0.61152,9.70788
2.06388,0.30576,9.70788
0,0.91728,9.78432
0,0.91728,9.78432
0,1.37592,10.7016
-0.07644,0.30576,9.78432
-0.07644,0.30576,9.78432
-0.45864,0.61152,9.40212
0,0.91728,9.09636
0,0.91728,9.09636
-0.15288,0.99372,9.1728
0.07644,0.84084,9.47856
0.07644,0.84084,9.47856
-0.30576,0.84084,9.40212
0,0.68796,8.86704
0,0.68796,8.86704
-0.53508,0.3822,9.78432
0.3822,0.61152,9.40212
0.3822,0.61152,9.40212
0,0.7644,9.78432
0.07644,0.99372,9.09636
0.07644,0.99372,9.09636
-0.30576,2.36964,7.94976
0,0.84084,8.7906
0,0.84084,8.7906
-0.30576,0.53508,8.94348
0,0.84084,8.71416
0,0.7644,7.87332
0,0.7644,7.87332
0.30576,1.22304,8.56128
0.30576,1.22304,8.56128
-0.45864,0.45864,9.24924
-0.91728,0.84084,8.86704
-0.91728,0.84084,8.86704
0.3822,0.68796,8.56128
1.1466,0.68796,9.63144
1.1466,0.68796,9.63144
0,0.68796,8.7906
0.22932,0.15288,9.78432
0,-0.07644,9.1728
0,-0.07644,9.1728
-0.53508,0.45864,9.40212
-0.3822,0.84084,9.70788
-0.3822,0.84084,9.70788
0.15288,0.45864,9.01992
0,1.07016,9.09636
0,1.07016,9.09636
0,0.91728,9.09636
0,0.91728,9.09636
-0.45864,1.60524,9.01992
0,0.61152,8.94348
0,0.61152,8.94348
0,0.91728,9.09636
0.91728,0.7644,9.40212
0.91728,0.7644,9.40212
0,1.1466,8.4084
0,1.1466,8.4084
0,0.61152,8.94348
0,0.99372,8.17908
0,0.99372,8.17908
-0.30576,0.3822,9.78432
0.15288,0.22932,8.7906
0.15288,0.22932,8.7906
0.22932,1.29948,9.40212
0.22932,0.7644,9.09636
0.22932,0.7644,9.09636
-0.15288,0.7644,9.01992
0,0.3822,8.71416
0,0.3822,8.71416
0,0.61152,8.71416
0,0.61152,10.9309
0,0.61152,10.9309
0,0.7644,8.71416
0,0.7644,8.71416
0.07644,0.84084,9.1728
-0.91728,0.61152,9.63144
-0.91728,0.61152,9.63144
-0.30576,0.68796,9.9372
-0.30576,0.68796,9.9372
-0.30576,0.45864,8.94348
-0.07644,0.84084,9.78432
-0.07644,0.84084,9.78432
0.07644,0.99372,9.09636
0,0.68796,8.94348
0,0.68796,8.94348
0.15288,0.84084,8.86704
0.15288,0.84084,8.86704
0,0.61152,9.1728
0.07644,0.91728,9.555
0.07644,0.91728,9.555
0,0.84084,9.09636
0,0.84084,9.09636
-0.45864,0.61152,8.86704
1.911,0.30576,7.56756
1.911,0.30576,7.56756
0,0.68796,9.70788
0,0.53508,8.7906
0,0.53508,8.7906
0.15288,0.68796,8.7906
0.15288,0.68796,8.7906
-0.45864,0.61152,9.9372
0,0.7644,9.01992
0,0.7644,9.01992
0.53508,0.7644,9.1728
0,0.68796,8.86704
0,0.68796,8.86704
-0.45864,0.68796,9.09636
-0.45864,0.68796,9.09636
0,0.84084,9.09636
0.15288,0.84084,8.48484
0.15288,0.84084,8.48484
-0.22932,0.84084,9.24924
-0.22932,0.84084,9.24924
0,0.7644,8.7906
0,0.91728,8.71416
0,0.91728,8.71416
0,0.68796,9.40212
0,0.68796,9.40212
0.53508,0.53508,8.94348
0.53508,0.53508,8.94348
0,0.61152,8.48484
-0.22932,0.15288,9.1728
-0.22932,0.15288,9.1728
-0.3822,0.53508,9.70788
-0.3822,0.53508,9.70788
-0.22932,0.45864,8.33196
-0.22932,0.45864,8.33196
-0.53508,0.61152,9.09636
-0.91728,0.53508,8.48484
-0.91728,0.53508,8.48484
0,0.15288,8.63772
0,0.99372,8.4084
0,0.99372,8.4084
0.61152,0.3822,9.70788
0.61152,0.3822,9.70788
0,0.53508,9.01992
0,0.53508,9.01992
0.30576,0.84084,10.0136
0.15288,0.61152,8.48484
0.15288,0.61152,8.48484
0,0.45864,8.86704
0,0.45864,8.63772
0,0.45864,8.63772
0,0.84084,9.40212
0,0.84084,9.40212
0,0.84084,9.47856
0.15288,0.68796,9.32568
0.15288,0.68796,9.32568
0.30576,0.61152,8.86704
0.30576,0.61152,8.86704
-0.22932,0.45864,9.1728
0.30576,0.84084,8.7906
0.30576,0.84084,8.7906
-0.22932,0.7644,8.63772
-0.22932,0.7644,8.63772
0,0.53508,8.33196
0,0.84084,9.01992
0,0.84084,9.01992
0,1.07016,9.24924
0,1.07016,9.24924
-0.07644,0.53508,9.555
0.07644,0.53508,8.94348
0.07644,0.53508,8.94348
0,0.7644,9.47856
0,0.7644,9.47856
0.30576,0.91728,8.71416
-0.45864,0.53508,8.71416
-0.45864,0.53508,8.71416
0.07644,0.7644,9.32568
0.07644,0.7644,9.32568
0,0.45864,9.9372
0,0.07644,9.47856
0,0.07644,9.47856
0,0.7644,8.94348
0,0.7644,8.94348
-0.45864,1.75812,8.94348
0,0.99372,8.86704
0,0.99372,8.86704
-0.91728,1.1466,9.24924
0,0.99372,9.09636
0,0.99372,9.09636
0,0.68796,8.71416
0,0.68796,8.71416
-0.3822,1.07016,9.09636
0,0.68796,9.555
0,0.68796,9.555
0,0.7644,9.1728
0,0.7644,9.1728
0,0.68796,9.9372
0,0.68796,9.9372
0,0.91728,9.01992
-0.07644,0.61152,8.94348
-0.07644,0.61152,8.94348
0,0.15288,7.87332
0,0.15288,7.87332
0,0.61152,9.01992
-1.22304,2.6754,9.78432
-1.22304,2.6754,9.78432
-0.30576,0.7644,9.09636
0,0.30576,8.48484
0,0.30576,8.48484
-0.07644,0.53508,8.7906
-0.07644,0.53508,8.7906
0,0.45864,9.01992
0.07644,0,8.7906
0.07644,0,8.7906
0,0.7644,9.78432
0,0.53508,8.7906
0,0.53508,8.7906
0,1.83456,9.555
0,1.83456,9.555
0,0.61152,10.0901
0,0,9.01992
0,0,9.01992
-0.22932,0.84084,9.40212
-0.22932,0.84084,9.40212
-0.07644,0,9.78432
0.3822,0.53508,8.71416
0.3822,0.53508,8.71416
1.1466,0.3822,7.87332
1.1466,0.3822,7.87332
0.7644,0.84084,8.86704
0,1.1466,8.94348
