x,y,z
0,0.53508,9.09636
-0.15288,0.30576,9.01992
0,0.61152,8.56128
0,0.61152,8.56128
0,0.61152,8.56128
-0.30576,0.61152,9.32568
-0.30576,0.61152,9.32568
-0.15288,0.3822,8.94348
-0.15288,0.3822,8.94348
0.53508,0,9.32568
0.53508,0,9.32568
-0.22932,0.45864,8.86704
-0.22932,0.45864,8.86704
-0.22932,0.61152,9.32568
-0.22932,0.61152,9.32568
0,0.22932,9.1728
0,0.22932,9.1728
0,0.22932,9.1728
0,0.30576,9.09636
0,0.30576,9.09636
0,0.3822,9.555
0,0.3822,9.555
-0.22932,0.45864,9.24924
-0.22932,0.45864,9.24924
-0.22932,0.7644,8.56128
0.07644,0.3822,8.94348
0.07644,0.3822,8.94348
-0.30576,0.45864,9.09636
0,0.61152,8.71416
0,0.61152,8.71416
0,0.45864,8.33196
-0.30576,0.61152,9.01992
0.45864,1.1466,9.32568
-0.30576,0.53508,9.1728
0,0.15288,8.7906
-0.30576,0.84084,9.78432
-0.3822,0.45864,9.1728
-0.3822,0.45864,9.1728
0.30576,0,9.09636
0.30576,0,9.09636
0.15288,0.30576,8.63772
0,0.61152,8.7906
0,0.61152,8.7906
0.15288,0.22932,8.86704
-0.15288,0.45864,8.63772
-0.15288,0.53508,8.7906
-0.15288,0.53508,8.7906
-0.22932,0.61152,9.1728
-0.22932,0.61152,9.1728
0,0.53508,9.09636
0,0.53508,9.09636
0,0.53508,9.09636
0,0.22932,8.71416
0,0.22932,8.71416
0.07644,0.7644,8.7906
0.07644,0.7644,8.7906
-0.15288,0.61152,8.17908
-0.15288,0.61152,8.17908
0,0.61152,9.09636
0,0.61152,9.09636
-1.83456,1.45236,8.63772
-1.83456,1.45236,8.63772
-0.3822,0,8.94348
-0.22932,0.53508,9.09636
0,0.84084,9.01992
-0.3822,0.3822,8.86704
-0.30576,0.45864,9.24924
0,0.3822,8.94348
0,0.3822,8.94348
-0.45864,0.61152,8.7906
0,0.61152,9.01992
-1.22304,-0.07644,9.01992
-0.30576,0.22932,8.86704
-0.07644,0,9.40212
-0.07644,0,9.40212
-0.22932,0.07644,8.94348
0,0.15288,8.63772
0,0.68796,9.1728
-0.07644,-0.15288,8.48484
-0.30576,0.30576,9.555
0,0.45864,8.33196
-0.45864,0.22932,9.78432
0,0.22932,8.94348
0.30576,0.07644,8.56128
0,0.3822,7.94976
0,0.3822,7.94976
-0.07644,0.07644,8.56128
-0.07644,0.07644,8.56128
0.15288,0,8.86704
-0.07644,0.61152,9.32568
-0.07644,0.61152,9.32568
-0.91728,0.53508,8.94348
0,0.7644,9.70788
-0.22932,0,9.01992
0,0.91728,9.32568
0,0.91728,9.32568
0,0.91728,9.01992
0,0.45864,9.01992
0,0.45864,9.01992
0,0.3822,9.1728
0,0.3822,9.1728
-0.22932,2.2932,8.0262
0.22932,0.53508,8.63772
0.22932,0.53508,8.63772
0,0.68796,8.7906
0.15288,0.45864,8.94348
0.15288,0.45864,8.94348
-0.15288,0.45864,8.56128
-0.15288,0.45864,8.56128
-0.22932,0.45864,9.47856
-0.22932,0.45864,9.47856
-0.22932,0.45864,9.47856
0,0.3822,9.1728
0,0.3822,9.1728
-0.15288,0.45864,8.94348
-0.15288,0.45864,8.94348
0,0.61152,9.555
0,0.61152,9.555
0.22932,0.22932,8.56128
0.22932,0.22932,8.56128
0,0.45864,9.32568
0,0.45864,9.32568
0,0.45864,9.32568
-0.30576,0.45864,9.09636
-0.30576,0.45864,9.09636
-0.22932,0.61152,8.25552
-0.22932,0.61152,8.25552
0.61152,0,9.1728
0.61152,0,9.1728
-0.30576,0.61152,8.63772
-0.30576,0.61152,8.63772
0,0.3822,10.9309
0,0.3822,10.9309
0,1.07016,8.56128
0,1.07016,8.56128
-0.3822,0.45864,9.70788
0.07644,0,8.48484
-0.45864,0,8.63772
-0.45864,0,8.63772
-0.7644,0.3822,9.63144
-0.22932,0.3822,8.86704
-0.22932,0.3822,8.86704
0,0.68796,8.86704
0,0.68796,8.86704
-0.30576,0.53508,9.32568
-0.30576,0.53508,9.32568
0.07644,0.3822,8.25552
0.07644,0.3822,8.25552
0.07644,0.3822,9.01992
0.07644,0.3822,9.01992
-0.30576,0.68796,9.09636
-0.30576,0.68796,9.09636
-0.15288,0.3822,8.48484
-0.15288,0.3822,8.48484
-0.15288,0.3822,8.48484
-0.22932,0.30576,8.94348
-0.22932,0.30576,8.94348
0,0.45864,9.01992
0,0.45864,9.01992
0,0.15288,9.70788
0,0.15288,9.70788
-0.45864,0.68796,8.94348
-0.45864,0.68796,8.94348
-0.15288,0.3822,8.94348
-0.15288,0.3822,8.94348
0.22932,0.53508,8.56128
0.22932,0.53508,8.56128
-0.07644,0.53508,9.1728
-0.07644,0.53508,9.1728
-0.07644,0.53508,9.1728
0,0.45864,10.1665
0,0.45864,10.1665
-0.3822,0.45864,9.09636
-0.3822,0.45864,9.09636
0,0.68796,9.1728
0,0.68796,9.1728
-0.15288,0.68796,8.86704
-0.15288,0.68796,8.86704
-0.22932,0.45864,9.32568
-0.22932,0.45864,9.32568
0.07644,0.22932,9.01992
0.07644,0.22932,9.01992
0.07644,0.22932,9.01992
0,0.68796,8.7906
0,0.68796,8.7906
0,1.75812,7.49112
0,1.75812,7.49112
0,0,8.48484
0,0,8.48484
