x,y,z
-0.30576,1.60524,8.7906
-0.30576,1.60524,8.7906
-0.15288,1.5288,8.56128
-0.15288,1.5288,8.56128
-0.15288,1.5288,8.56128
-0.22932,1.5288,9.09636
-0.22932,1.5288,9.09636
-0.22932,1.5288,9.09636
0,1.60524,8.7906
0,1.60524,8.7906
0,1.60524,8.7906
0,1.5288,8.48484
0,1.5288,8.48484
0,1.5288,8.48484
-0.3822,1.75812,9.01992
-0.3822,1.75812,9.01992
-0.45864,1.29948,9.1728
-0.45864,1.29948,9.1728
-0.45864,1.29948,9.1728
-0.45864,1.98744,9.09636
-0.45864,1.98744,9.09636
-0.45864,1.98744,9.09636
-0.30576,1.75812,9.86076
-0.30576,1.75812,9.86076
-0.15288,1.75812,8.63772
-0.3822,1.22304,8.7906
-0.22932,1.60524,8.33196
-0.22932,1.60524,8.33196
-0.07644,1.37592,10.0136
-0.61152,1.98744,9.1728
0,1.911,9.40212
-1.83456,2.98116,8.7906
-0.15288,1.75812,9.555
0,1.37592,9.1728
-1.37592,1.07016,9.40212
-1.37592,1.07016,9.40212
-0.61152,1.45236,8.10264
-0.91728,1.37592,8.17908
0.3822,1.98744,8.48484
0.15288,1.68168,8.56128
0.15288,1.68168,8.56128
-0.15288,1.68168,10.9309
0.7644,1.37592,8.17908
1.60524,0.7644,7.2618
-0.22932,1.75812,9.09636
0,1.1466,9.70788
-0.99372,1.22304,10.243
0,1.68168,8.48484
0.15288,1.68168,8.4084
0.15288,1.68168,8.4084
-1.22304,2.36964,8.86704
-0.45864,1.29948,8.86704
-0.22932,1.83456,9.09636
-0.15288,1.68168,8.56128
0,1.5288,8.25552
0,1.5288,8.25552
0.22932,0.91728,7.33824
0,1.68168,9.47856
-0.30576,1.5288,8.7906
-0.30576,1.5288,8.7906
0.07644,1.45236,9.78432
0.30576,1.75812,9.1728
-0.30576,1.37592,9.78432
0,1.60524,8.7906
0,1.98744,8.86704
-0.68796,2.06388,9.70788
-0.68796,2.06388,9.70788
-0.45864,1.60524,9.70788
-0.22932,1.60524,8.86704
-0.3822,0.84084,8.71416
-0.22932,1.60524,8.86704
-0.22932,1.60524,8.86704
-0.84084,1.1466,7.49112
0,1.83456,7.94976
0,1.83456,7.94976
0.30576,1.68168,8.94348
0.7644,2.59896,8.25552
-0.68796,1.37592,9.01992
-0.3822,1.37592,8.86704
0.15288,1.60524,8.63772
-0.61152,2.06388,8.94348
-0.30576,1.29948,9.09636
-0.30576,1.29948,9.09636
-0.91728,0,9.555
0,1.45236,8.48484
0,1.45236,8.48484
0,1.68168,9.24924
-0.61152,1.83456,9.1728
-0.7644,1.45236,9.1728
-0.15288,1.60524,9.24924
0,1.5288,8.86704
0.30576,0.7644,8.56128
0.22932,1.5288,8.63772
-0.3822,1.60524,8.94348
-0.45864,1.5288,8.86704
-0.45864,1.5288,8.86704
-0.45864,1.45236,8.94348
-0.53508,1.07016,8.7906
0,1.68168,9.1728
-0.53508,1.29948,8.56128
-0.30576,1.68168,8.94348
-0.30576,1.68168,8.94348
0,1.60524,7.79688
-0.45864,1.07016,8.71416
-0.22932,1.45236,8.86704
0,0.91728,8.7906
0,0.91728,8.7906
0,1.75812,8.33196
0,1.75812,8.17908
0,1.83456,8.94348
0,1.83456,8.94348
-0.30576,0.91728,9.1728
0,1.5288,11.5424
0,1.68168,8.63772
-1.07016,1.1466,8.25552
-0.68796,1.83456,8.71416
-0.61152,1.83456,9.09636
-0.61152,1.83456,9.09636
0,1.911,8.63772
0,1.911,8.63772
0,1.68168,8.7906
0.07644,1.68168,8.86704
0,2.59896,7.33824
0,2.59896,7.33824
-0.22932,1.60524,8.86704
-0.22932,1.60524,8.86704
0,1.75812,9.24924
-0.3822,1.60524,9.01992
-0.3822,1.60524,9.01992
-0.30576,3.28692,8.56128
-0.30576,3.28692,8.56128
-0.22932,1.22304,10.9309
-0.22932,1.22304,10.9309
-0.22932,1.22304,10.9309
-0.30576,1.83456,9.47856
-0.30576,1.22304,8.7906
-0.30576,1.22304,8.7906
0.3822,0.61152,9.9372
-0.3822,1.07016,9.1728
-1.1466,2.06388,9.555
-0.30576,1.83456,8.56128
-0.22932,1.68168,9.1728
-0.3822,2.36964,9.86076
-0.15288,3.59268,7.94976
-0.61152,1.29948,9.01992
-0.61152,1.29948,9.01992
0,1.68168,9.1728
0,1.68168,9.1728
0,1.60524,8.94348
-0.30576,0.99372,9.09636
-0.30576,0.99372,9.09636
-0.61152,1.911,9.1728
-0.61152,1.911,9.1728
-0.30576,1.68168,8.48484
-0.30576,1.68168,8.48484
-0.30576,1.68168,8.48484
-0.30576,0.07644,8.56128
-0.68796,1.75812,9.09636
-0.07644,0.91728,9.09636
-0.22932,2.44608,8.71416
-0.22932,1.5288,9.47856
-0.3822,1.83456,8.94348
-0.30576,1.60524,9.09636
0,1.68168,8.7906
0,1.68168,8.7906
-0.3822,1.75812,9.01992
-0.68796,1.5288,8.86704
-0.68796,1.5288,8.86704
0,1.75812,8.56128
0,1.75812,8.56128
-0.30576,1.45236,9.47856
-0.22932,1.98744,9.70788
-0.30576,1.45236,9.01992
-0.22932,1.75812,8.48484
-0.22932,1.75812,8.48484
-0.15288,1.75812,9.01992
-0.3822,1.22304,8.71416
-0.53508,2.21676,9.40212
0.07644,1.60524,7.87332
0,1.5288,8.7906
0,1.5288,8.7906
0,2.06388,7.72044
-0.53508,1.45236,8.7906
0,1.45236,8.4084
-0.22932,1.29948,8.63772
-0.22932,1.29948,8.63772
0,0.99372,8.63772
-0.30576,1.22304,8.48484
-1.22304,2.36964,8.86704
-0.3822,0.91728,8.56128
-0.3822,0.91728,8.56128
0,1.22304,8.86704
0,1.98744,9.01992
-0.30576,1.68168,8.86704
-0.30576,1.5288,8.86704
-0.30576,1.5288,8.86704
-0.53508,1.5288,9.01992
-0.53508,1.5288,9.01992
-0.30576,1.5288,9.01992
-0.30576,1.5288,9.01992
0.15288,1.68168,7.33824
0.15288,1.68168,7.33824
-0.61152,1.37592,7.94976
-0.61152,1.37592,7.94976
-0.61152,1.75812,9.01992
0,2.21676,8.48484
0,2.21676,8.48484
-0.91728,1.37592,8.71416
-0.91728,1.37592,8.71416
0,1.5288,9.01992
0,1.5288,9.01992
-0.07644,1.29948,8.56128
-0.07644,1.29948,8.56128
-0.53508,2.21676,9.63144
-0.53508,2.21676,9.63144
-0.53508,2.21676,9.63144
-0.22932,0.15288,8.7906
-0.22932,0.15288,8.7906
-0.22932,0.15288,8.7906
-0.30576,1.5288,9.1728
-0.30576,1.5288,9.1728
-0.30576,1.5288,9.1728
0,1.45236,8.4084
0,1.45236,8.4084
-0.15288,1.68168,8.86704
-0.15288,1.68168,8.86704
-0.15288,1.68168,8.86704
-0.91728,1.22304,9.63144
-0.91728,1.22304,9.63144
-0.91728,1.22304,9.63144
0.15288,1.83456,8.86704
0.15288,1.83456,8.86704
-0.22932,1.68168,8.7906
-0.22932,1.68168,8.7906
-0.22932,1.68168,8.7906
-0.15288,1.98744,9.09636
-0.15288,1.98744,9.09636
-0.15288,1.98744,9.09636
-0.45864,1.5288,8.86704
-0.45864,1.5288,8.86704
-0.45864,1.5288,8.86704
-0.61152,1.75812,8.71416
-0.61152,1.75812,8.71416
-0.61152,1.75812,8.71416
-0.61152,1.75812,8.71416
0.15288,1.1466,8.86704
0.15288,1.1466,8.86704
0.15288,1.1466,8.86704
0.15288,1.45236,8.4084
0.15288,1.45236,8.4084
0.15288,1.45236,8.4084
0,1.5288,7.94976
0,1.5288,7.94976
0,1.5288,7.94976
-0.30576,1.07016,10.3958
-0.30576,1.07016,10.3958
-0.30576,1.07016,10.3958
-0.53508,1.60524,8.56128
-0.53508,1.60524,8.56128
-0.53508,1.60524,8.56128
0,1.37592,8.71416
0,1.37592,8.71416
0,1.37592,8.71416
-0.45864,1.75812,8.4084
-0.45864,1.75812,8.4084
-0.45864,1.75812,8.4084
0.15288,1.68168,7.644
0.15288,1.68168,7.644
0.15288,1.68168,7.644
-0.7644,0.91728,8.63772
-0.7644,0.91728,8.63772
-0.7644,0.91728,8.63772
-0.45864,1.5288,9.70788
-0.45864,1.5288,9.70788
