x,y,z
4.2042,0.61152,8.48484
4.2042,0.61152,8.48484
4.05132,0.84084,8.94348
4.05132,0.84084,8.94348
4.05132,0.84084,8.94348
4.2042,0.7644,8.25552
4.2042,0.7644,8.25552
4.2042,0.7644,8.25552
4.2042,0.7644,8.25552
4.28064,0.68796,7.56756
4.28064,0.68796,7.56756
4.28064,0.68796,7.56756
4.28064,0.68796,7.56756
4.73928,0.68796,7.49112
4.73928,0.68796,7.49112
4.73928,0.68796,7.49112
4.73928,0.68796,7.49112
4.5864,1.1466,8.25552
4.5864,1.1466,8.25552
4.5864,1.1466,8.25552
4.5864,1.1466,8.25552
4.28064,0.61152,8.71416
4.28064,0.61152,8.71416
4.28064,0.61152,8.71416
4.28064,0.61152,8.71416
4.28064,0.61152,8.71416
4.28064,0.45864,8.10264
4.28064,0.45864,8.10264
4.28064,0.45864,8.10264
4.28064,0.45864,8.10264
4.28064,0.84084,8.10264
4.28064,0.84084,8.10264
4.28064,0.84084,8.10264
4.43352,0.68796,8.48484
4.43352,0.68796,8.48484
4.43352,0.68796,8.48484
4.43352,0.68796,8.48484
4.43352,0.68796,8.48484
4.35708,0.7644,9.86076
4.35708,0.7644,9.86076
4.35708,0.7644,9.86076
4.35708,0.7644,9.86076
4.28064,0.61152,8.86704
4.28064,0.61152,8.86704
4.28064,0.61152,8.86704
4.28064,0.61152,8.86704
4.81572,0.53508,8.63772
4.81572,0.53508,8.63772
4.81572,0.53508,8.63772
4.81572,0.53508,8.63772
4.81572,0.84084,8.86704
4.81572,0.84084,8.86704
4.81572,0.84084,8.86704
4.81572,0.84084,8.86704
4.12776,0.45864,8.56128
4.12776,0.45864,8.56128
4.12776,0.45864,8.56128
4.12776,0.45864,8.56128
4.12776,0.45864,8.56128
3.89844,0.84084,8.94348
3.89844,0.84084,8.94348
3.89844,0.84084,8.94348
3.89844,0.84084,8.94348
4.35708,0.68796,9.555
4.35708,0.68796,9.555
4.35708,0.68796,9.555
4.5864,0.7644,9.47856
4.5864,0.7644,9.47856
4.5864,0.7644,9.47856
4.5864,0.7644,9.47856
4.66284,0.61152,7.33824
4.66284,0.61152,7.33824
4.66284,0.61152,7.33824
4.66284,0.61152,7.33824
4.5864,0.91728,8.4084
4.5864,0.91728,8.4084
4.5864,0.91728,8.4084
4.5864,0.91728,8.4084
4.50996,0.99372,8.4084
4.50996,0.99372,8.4084
4.50996,0.99372,8.4084
4.50996,0.99372,8.4084
4.50996,0.99372,8.4084
3.66912,0.91728,9.01992
3.66912,0.91728,9.01992
3.66912,0.91728,9.01992
3.66912,0.91728,9.01992
4.35708,0.91728,9.01992
4.35708,0.91728,9.01992
4.35708,0.91728,9.01992
4.35708,0.91728,9.01992
4.43352,0.61152,9.1728
4.43352,0.61152,9.1728
4.43352,0.61152,9.1728
4.43352,0.61152,9.1728
4.50996,0.53508,8.33196
4.50996,0.53508,8.33196
